Player,Position,Salary [$],Floor,Mean,Ceiling,SD,Risk,Tier,PPD
Patrick Mahomes (KC),QB,40,359,382,415,22.6,3.72,1,9.55
Josh Allen (BUF),QB,31,349,372,391,17,3.41,2,12
Christian McCaffrey (CAR),RB,77,306,356,392,31,4.15,1,4.62
Kyler Murray (ARI),QB,20,327,355,384,21.4,3.64,2,17.8
Lamar Jackson (BAL),QB,19,332,352,366,12.9,3.26,3,18.5
Aaron Rodgers (GB),QB,14,325,335,353,10.6,3.08,3,23.9
Russell Wilson (SEA),QB,15,318,334,357,13.3,3.11,3,22.3
Justin Herbert (LAC),QB,12,301,328,351,20.1,3.46,3,27.3
Dak Prescott (DAL),QB,14,290,326,355,22.7,3.66,4,23.3
Dalvin Cook (MIN),RB,69,286,320,343,24.7,3.45,1,4.64
Tom Brady (TB),QB,10,281,313,332,18.6,3.52,4,31.3
Ryan Tannehill (TEN),QB,8,288,306,327,15.8,3.29,5,38.2
Alvin Kamara (NO),RB,65,260,306,345,33.6,4.57,2,4.71
Derrick Henry (TEN),RB,63,269,295,321,19.2,2.85,3,4.68
Jalen Hurts (PHI),QB,8,253,289,320,22.2,3.82,5,36.1
Davante Adams (GB),WR,56,259,285,304,16.6,2.81,1,5.09
Kirk Cousins (MIN),QB,4,262,282,306,15.3,3.77,5,70.5
Matthew Stafford (LAR),QB,8,257,281,312,21.7,3.59,6,35.1
Tyreek Hill (KC),WR,54,261,281,300,16.4,2.8,1,5.2
Joe Burrow (CIN),QB,5,245,273,297,19.1,3.57,6,54.6
Matt Ryan (ATL),QB,4,246,271,293,17.9,3.91,6,67.8
Trevor Lawrence (JAC),QB,4,234,270,305,27.4,4.54,6,67.5
Stefon Diggs (BUF),WR,50,231,269,306,29.4,4.04,2,5.38
Ben Roethlisberger (PIT),QB,4,241,266,301,25.5,4.79,6,66.5
Baker Mayfield (CLE),QB,4,245,264,302,22.2,4.62,6,66
Derek Carr (LVR),QB,3,237,262,300,23.2,4.97,6,87.3
Calvin Ridley (ATL),WR,42,245,261,279,13.6,2.61,2,6.21
Tua Tagovailoa (MIA),QB,3,233,260,292,22.2,4.48,6,86.7
Saquon Barkley (NYG),RB,53,230,260,312,30.3,4.39,3,4.91
Aaron Jones (GB),RB,55,232,259,277,17.3,2.75,3,4.71
Austin Ekeler (LAC),RB,50,219,259,285,25.6,4.05,3,5.18
Ryan Fitzpatrick (WAS),QB,5,203,257,307,36.4,5.37,7,51.4
Ezekiel Elliott (DAL),RB,58,213,256,299,31.4,4.31,4,4.41
DeAndre Hopkins (ARI),WR,43,230,252,293,22.7,3.45,3,5.86
Travis Kelce (KC),TE,51,217,252,277,23.4,3.55,1,4.94
Carson Wentz (IND),QB,4,210,249,285,29.2,5.71,7,62.2
Jameis Winston (NO),QB,3,195,248,309,46.5,6.68,7,82.7
Nick Chubb (CLE),RB,54,208,248,284,28.8,4.03,4,4.59
Jonathan Taylor (IND),RB,52,201,247,302,35.3,4.91,4,4.75
Daniel Jones (NYG),QB,3,216,246,270,22,5.14,7,82
Zach Wilson (NYJ),QB,2,186,245,283,37.5,5.85,8,122
Joe Mixon (CIN),RB,40,222,241,272,19.4,3.32,4,6.02
Justin Jefferson (MIN),WR,37,218,239,271,19.6,3.17,3,6.46
DK Metcalf (SEA),WR,40,208,238,261,19.9,3.21,3,5.95
Sam Darnold (CAR),QB,3,178,235,261,29.4,5.52,8,78.3
Mac Jones (NE),QB,3,195,235,260,21.4,5.85,8,78.3
Justin Fields (CHI),QB,3,135,234,303,65.2,7.77,8,78
Najee Harris (PIT),RB,45,209,233,266,23.1,3.86,5,5.18
Jared Goff (DET),QB,3,189,228,276,35.1,6.08,9,76
Antonio Gibson (WAS),RB,45,173,228,266,34.2,4.82,5,5.07
A.J. Brown (TEN),WR,35,207,228,250,18.6,3.1,3,6.51
Keenan Allen (LAC),WR,28,184,225,266,26.8,3.99,4,8.04
Darren Waller (LVR),TE,34,212,225,255,15.8,2.56,2,6.62
D'Andre Swift (DET),RB,19,183,220,251,28.3,4.46,5,11.6
Clyde Edwards-Helaire (KC),RB,36,194,218,253,24.1,3.76,5,6.06
David Montgomery (CHI),RB,28,185,218,261,28.3,4.34,5,7.79
Chris Carson (SEA),RB,28,198,217,248,19.8,3.25,5,7.75
Allen Robinson (CHI),WR,26,200,215,236,13.3,2.65,4,8.27
James Robinson (JAC),RB,22,186,213,228,15.5,3.11,5,9.68
Terry McLaurin (WAS),WR,27,172,212,238,26,3.79,4,7.85
Miles Sanders (PHI),RB,19,168,211,251,29.9,4.69,6,11.1
Mike Evans (TB),WR,19,180,211,231,19.4,3.22,4,11.1
CeeDee Lamb (DAL),WR,26,169,211,257,30.6,4.28,4,8.12
Amari Cooper (DAL),WR,17,195,210,225,11.3,2.47,4,12.4
Robert Woods (LAR),WR,17,182,210,231,17.3,3.05,4,12.4
Chris Godwin (TB),WR,18,179,207,232,21.9,3.5,4,11.5
Teddy Bridgewater (DEN),QB,2,66.8,204,265,79.2,8.32,10,102
Josh Jacobs (LVR),RB,18,162,203,241,27.7,4.39,6,11.3
George Kittle (SF),TE,26,179,203,232,21.1,3.58,3,7.81
Julio Jones (TEN),WR,14,169,201,227,21,3.47,4,14.4
Tyler Lockett (SEA),WR,14,185,201,215,12.8,2.74,5,14.4
Mike Davis (ATL),RB,13,176,199,219,14.8,2.97,6,15.3
Cooper Kupp (LAR),WR,16,179,199,213,13.7,2.77,5,12.4
Diontae Johnson (PIT),WR,12,184,199,231,18,3.26,5,16.6
Adam Thielen (MIN),WR,13,191,199,210,8.02,2.29,5,15.3
D.J. Moore (CAR),WR,12,176,192,204,11,2.56,5,16
Myles Gaskin (MIA),RB,13,162,191,226,23.9,4.16,6,14.7
Chase Edmonds (ARI),RB,10,167,188,211,14.7,3.15,7,18.8
Tee Higgins (CIN),WR,9,155,187,204,18.3,3.32,5,20.8
Odell Beckham (CLE),WR,8,172,187,205,12.7,2.87,5,23.4
Brandon Aiyuk (SF),WR,10,165,187,207,16.6,3.15,5,18.7
Kenny Golladay (NYG),WR,6,149,185,223,25.1,4.08,5,30.8
Trey Lance (SF),QB,4,46.5,182,295,94.8,9.96,11,45.5
JuJu Smith-Schuster (PIT),WR,6,169,182,196,11.5,2.8,5,30.3
Deebo Samuel (SF),WR,5,157,181,202,17.8,3.5,5,36.2
Brandin Cooks (HOU),WR,3,158,181,230,26.1,4.26,6,60.3
Chase Claypool (PIT),WR,7,140,180,212,27.5,4.28,6,25.7
Damien Harris (NE),RB,11,151,177,194,15.7,3.3,7,16.1
Courtland Sutton (DEN),WR,6,149,176,206,20.3,3.55,6,29.3
Tyrod Taylor (HOU),QB,2,24,173,293,92.6,8.93,12,86.5
Gus Edwards (BAL),RB,15,120,172,199,31.2,5.29,7,11.5
Robby Anderson (CAR),WR,6,164,172,184,7.07,2.46,6,28.7
Darrell Henderson (LAR),RB,14,143,171,198,21.5,3.97,7,12.2
Marvin Jones (JAC),WR,3,141,171,216,26.5,4.52,6,57
Kareem Hunt (CLE),RB,11,122,170,203,27.8,4.41,7,15.5
Jerry Jeudy (DEN),WR,8,124,170,204,28.5,4.44,6,21.2
Raheem Mostert (SF),RB,8,144,169,205,22.4,3.97,8,21.1
Tyler Boyd (CIN),WR,4,150,169,180,10.6,2.7,6,42.2
Corey Davis (NYJ),WR,5,136,169,202,25.1,4.38,6,33.8
Jarvis Landry (CLE),WR,3,141,168,195,17.8,3.63,6,56
Michael Gallup (DAL),WR,2,153,168,179,9.92,2.85,6,84
Michael Thomas (NO),WR,8,134,168,206,25.5,5.29,6,21
Ja'Marr Chase (CIN),WR,4,143,167,187,17.7,3.49,6,41.8
Mark Andrews (BAL),TE,13,152,164,188,13.5,2.4,4,12.6
Marquise Brown (BAL),WR,2,144,163,189,16.3,3.66,6,81.5
Curtis Samuel (WAS),WR,2,126,163,193,23.3,4.31,6,81.5
D.J. Chark (JAC),WR,3,126,162,198,25.1,4.46,7,54
DeVante Parker (MIA),WR,2,146,160,184,13.9,3.6,7,80
Justin Tucker (BAL),K,3,150,160,171,7.88,2.53,1,53.3
Antonio Brown (TB),WR,5,107,158,201,32.8,5.17,7,31.6
Laviska Shenault (JAC),WR,4,109,158,198,29.1,4.76,7,39.5
Deshaun Watson (HOU),QB,1,18.1,157,357,131,11.1,13,157
Melvin Gordon (DEN),RB,6,104,156,211,41,6.1,8,26
Rams (LAR),DST,3,125,156,195,29,4.87,1,52
Will Fuller (MIA),WR,3,113,155,190,28.7,4.57,7,51.7
T.J. Hockenson (DET),TE,12,139,154,169,11.5,2.28,4,12.8
Harrison Butker (KC),K,2,138,153,164,9.22,2.75,1,76.5
Younghoe Koo (ATL),K,2,140,152,173,11.8,3.84,1,76
Greg Zuerlein (DAL),K,2,126,151,176,18.9,4.19,1,75.5
Tyler Bass (BUF),K,2,132,151,160,11.9,4.6,1,75.5
DeVonta Smith (PHI),WR,5,127,150,185,21.1,3.94,7,30
Cole Beasley (BUF),WR,2,115,150,173,22.3,4.52,7,75
Javonte Williams (DEN),RB,10,80.8,149,188,38,6.13,8,14.9
Mike Williams (LAC),WR,2,137,149,176,14.5,3.36,7,74.5
Tyrell Williams (DET),WR,2,123,148,173,20.2,5.2,7,74
49ers (SF),DST,3,130,148,181,20.8,3.41,1,49.3
Saints (NO),DST,2,124,147,164,16.2,3.7,1,73.5
Packers (GB),DST,2,120,147,165,19.5,4.09,1,73.5
Steelers (PIT),DST,3,116,147,160,18.3,2.2,2,49
Michael Pittman (IND),WR,4,123,146,177,20,4.08,7,36.5
Russell Gage (ATL),WR,3,107,145,189,29.6,5.23,7,48.3
Darnell Mooney (CHI),WR,3,121,145,169,18.3,3.88,7,48.3
Cardinals (ARI),DST,1,123,145,167,18.1,7.68,3,145
Leonard Fournette (TB),RB,3,122,144,209,32.6,5.27,9,48
Henry Ruggs (LVR),WR,2,114,144,175,22.1,4.49,7,72
Jakobi Meyers (NE),WR,2,117,144,180,26.4,5.33,7,72
Sterling Shepard (NYG),WR,2,106,144,189,29.5,5.12,7,72
Logan Thomas (WAS),TE,6,135,143,169,12.5,2.81,5,23.8
Jason Sanders (MIA),K,1,131,143,159,9.99,3.38,1,143
Emmanuel Sanders (BUF),WR,2,108,142,179,25.5,4.7,8,71
Kyle Pitts (ATL),TE,15,52.5,142,184,46.3,7.64,5,9.47
Ryan Succop (TB),K,2,122,142,154,11.3,4.82,2,71
Buccaneers (TB),DST,3,114,142,168,25.2,5.98,3,47.3
Bills (BUF),DST,2,127,142,154,13.7,2.66,3,71
Ravens (BAL),DST,2,134,142,163,12.6,0.18,4,71
Ronald Jones (TB),RB,5,120,141,197,30.6,4.75,9,28.2
Daniel Carlson (LVR),K,1,134,141,157,8.19,4.34,2,141
Cowboys (DAL),DST,1,120,141,162,18.4,4.19,4,141
Nelson Agholor (NE),WR,2,118,140,174,21.4,4.52,8,70
Jason Myers (SEA),K,1,136,140,145,3.51,2.86,2,140
Redskins (WAS),DST,3,127,140,153,10.6,2.9,5,46.7
Marquez Callaway (NO),WR,3,80.1,139,199,42.1,6.2,8,46.3
Chiefs (KC),DST,1,113,139,163,20.6,4.75,6,139
Rodrigo Blankenship (IND),K,1,116,137,147,15.4,5.2,2,137
Mecole Hardman (KC),WR,2,106,136,154,17.3,4.09,8,68
Matt Gay (LAR),K,1,133,136,142,3.5,5.65,2,136
Dolphins (MIA),DST,1,120,136,152,12.5,4.72,7,136
Noah Fant (DEN),TE,4,117,134,146,10.9,2.42,5,33.5
Brandon McManus (DEN),K,1,122,134,154,12.2,4.46,2,134
Matt Prater (ARI),K,2,122,134,140,6.63,3.35,2,67
Mason Crosby (GB),K,1,117,134,150,12.3,4.23,2,134
Colts (IND),DST,2,119,134,148,13.6,3.45,8,67
Patriots (NE),DST,2,113,134,142,12.4,2.16,9,67
Robbie Gould (SF),K,1,122,133,144,9.28,3.71,3,133
Robert Tonyan (GB),TE,4,114,132,142,11.2,2.59,5,33
Tyler Higbee (LAR),TE,3,116,131,150,12.2,3.07,6,43.7
Jaylen Waddle (MIA),WR,3,75.1,130,170,36.5,5.72,8,43.3
Cairo Santos (CHI),K,1,119,130,136,5.82,4.49,3,130
Trey Sermon (SF),RB,7,64.5,129,165,37.2,6.19,9,18.4
Dallas Goedert (PHI),TE,3,115,129,152,12.9,2.92,6,43
Mike Gesicki (MIA),TE,2,116,129,148,11,2.59,6,64.5
Graham Gano (NYG),K,1,122,129,140,7.26,4.79,3,129
Seahawks (SEA),DST,1,96.4,129,146,21.2,4.83,9,129
Elijah Moore (NYJ),WR,2,107,128,151,20.1,4.51,8,64
Browns (CLE),DST,1,103,128,145,17.2,6.83,9,128
Bears (CHI),DST,1,110,128,146,14.9,4.09,9,128
Falcons (ATL),DST,1,112,128,150,16.2,3.99,10,128
